"GEOID","STNAME","CTYNAME","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","pop18","pop19","pop20","pop21","pop22","pop23","pop24"
"01000","Alabama","Alabama",4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5033094,5049196,5076181,5117673,5157699
"01001","Alabama","Autauga County",54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,58909,59191,59736,60436,61464
"01003","Alabama","Baldwin County",183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,233244,239411,246577,254107,261608
"01005","Alabama","Barbour County",27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,24975,24517,24722,24644,24358
"01007","Alabama","Bibb County",22870,22745,22667,22521,22553,22566,22586,22550,22367,22394,22176,22344,21983,21890,22258
"01009","Alabama","Blount County",57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,59110,59050,59491,59777,60163
"01011","Alabama","Bullock County",10876,10675,10606,10549,10663,10400,10389,10176,10174,10101,10230,10126,10126,9908,9901
"01013","Alabama","Butler County",20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,19027,18856,18652,18357,18256
"01015","Alabama","Calhoun County",118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,116242,115633,115744,116403,116427
"01017","Alabama","Chambers County",34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,34572,34396,34093,34087,33813
"01019","Alabama","Cherokee County",25963,25989,25958,26017,25895,25732,25768,25805,26014,26196,24981,25060,25334,25700,26138
"01021","Alabama","Chilton County",43653,43689,43582,43628,43760,43700,43866,44120,44163,44428,45060,45255,45856,46525,47262
"01023","Alabama","Choctaw County",13849,13609,13563,13397,13317,13231,13045,12925,12833,12589,12622,12544,12420,12263,12052
"01025","Alabama","Clarke County",25766,25587,25155,25123,24864,24698,24340,24063,23918,23622,22989,22735,22545,22305,22142
"01027","Alabama","Clay County",13898,13687,13434,13404,13441,13415,13393,13350,13294,13235,14210,14156,14198,14157,14239
"01029","Alabama","Cleburne County",15004,14928,14889,14976,15026,14914,14848,14899,15010,14910,15063,15151,15353,15658,15905
"01031","Alabama","Coffee County",50208,50444,51141,50681,50657,50963,51202,51853,51950,52342,53565,54201,54769,55707,56358
"01033","Alabama","Colbert County",54524,54539,54570,54529,54462,54417,54497,54695,55004,55241,57305,57615,58023,58382,58785
"01035","Alabama","Conecuh County",13236,13195,13046,12912,12677,12678,12500,12431,12292,12067,11551,11317,11220,11177,11109
"01037","Alabama","Coosa County",11780,11486,11346,11254,11037,10934,10819,10724,10643,10663,10340,10321,10283,10267,10291
"01039","Alabama","Covington County",37809,38020,37805,37814,37760,37556,37382,37062,36953,37049,37513,37512,37508,37861,37748
"01041","Alabama","Crenshaw County",13869,13894,13915,13847,13851,13850,13916,13858,13825,13772,13171,13062,13096,13168,13114
"01043","Alabama","Cullman County",80456,80410,80279,80690,81068,81761,82450,82867,83418,83768,88142,89578,90597,91909,92604
"01045","Alabama","Dale County",50394,50122,50289,49771,49414,49365,49362,49342,49143,49172,49260,49344,49472,49852,50067
"01047","Alabama","Dallas County",43854,43251,42789,41976,41554,40936,40080,39238,38294,37196,38185,37496,36772,36294,35545
"01049","Alabama","DeKalb County",71163,71365,70944,70912,70993,71087,71104,71437,71407,71513,71673,71880,72046,72626,73122
"01051","Alabama","Elmore County",79552,79993,80193,80536,80538,80872,81204,81422,81011,81209,87871,88734,89566,90416,91042
