density_rank_20_start,total_HU_14to24,total_pop14,new_housing_per_res,avg_density14
1,383547,10771988,36,13.03372518
2,527885,13256611,40,38.45282569
3,810977,14375245,56,75.11577593
4,1039549,14766886,70,139.3486219
5,1267373,15267832,83,254.4931643
6,1348277,15372486,88,446.2441264
7,1240466,15573080,80,717.6924628
8,1103208,15517513,71,1069.953108
9,959865,15446359,62,1481.561952
10,765701,15511167,49,1930.247433
11,619140,15397230,40,2396.363686
12,556257,15383886,36,2890.103021
13,431244,15333635,28,3437.149367
14,395848,15411300,26,4061.830372
15,352461,15577423,23,4792.494028
16,314142,15763589,20,5713.564335
17,324031,15935668,20,6969.737205
18,326437,15958607,20,9071.265834
19,413607,15461302,27,14101.76779
20,473636,15427205,31,44034.82932
