COUNTY_NAME,STATE_NAME,CITY,total_growth,total_pop14,new_housing_per_res,City - High Density,City - Mid-Density,Suburb - High Density,Suburb - Mid-Density,Exurb - Low Density,Rural/Undeveloped
Williamson County,Texas,Austin suburb,113648,453629,251,0,0,0.1,17.3,38.7,43.9
Collin County,Texas,Plano,142596,780275,183,0,0.1,1.4,18.8,47.2,32.5
Montgomery County,Texas,Houston suburb,87289,487010,179,0,0,0.1,4.9,60.3,34.7
Denton County,Texas,Dallas/Ft Worth suburb,122770,691152,178,0,0.3,1.1,18.1,33.7,46.8
Travis County,Texas,Austin,158309,1076921,147,0.5,1.6,5.2,35,40.9,16.9
Fort Bend County,Texas,Houston suburb,91570,630555,145,0,0,0.4,10.6,58.6,30.4
Ada County,Idaho,Boise,54647,402871,136,0,0,1.1,33.8,44.2,20.9
Lee County,Florida,Fort Myers,86805,644125,135,0,0,0,20,58.8,21.2
Pasco County,Florida,Tampa suburb,62466,472745,132,0,0,0,6.6,78.2,15.2
Polk County,Florida,Orlando/Tampa exurb,78661,609050,129,0,0,0,13.8,61.6,24.6
Wake County,North Carolina,Raleigh,120952,942523,128,0,0,0.9,28,64.4,6.7
Utah County,Utah,Provo,65984,522328,126,0.4,0.9,4.3,21.6,53.9,19
Davidson County,Tennessee,Nashville,75456,641865,118,0,0,1.4,56.2,38.8,3.6
Mecklenburg County,North Carolina,Charlotte,111848,962949,116,0.3,0,1.6,39.1,57.2,1.7
District of Columbia,District of Columbia,"Washington, DC",70417,624786,113,45.7,20.9,16.1,12.9,4.4,0
Greenville County,South Carolina,Greenville,50362,464185,108,0,0,0,18.6,71,10.3
Denver County,Colorado,Denver,63223,635393,100,5.9,20.3,27.5,35.8,6.9,3.6
Bexar County,Texas,San Antonio,168485,1767643,95,0.3,0.2,1.8,32.8,45.4,19.5
Orange County,Florida,Orlando,106876,1178122,91,0,2,4.6,26,44.7,22.7
Dane County,Wisconsin,Madison,43440,499058,87,6.1,4.8,2.6,24.4,40.8,21.4
Clark County,Washington,Las Vegas,37510,438274,86,0,1.3,7.2,44,36.1,11.4
Fulton County,Georgia,NA,81045,946299,86,5.6,7.1,14.9,39.9,31.6,0.9
Washoe County,Nevada,NA,34891,420195,83,0.2,5.2,4.5,33,39.6,17.6
El Paso County,Colorado,NA,52249,634801,82,0,0.1,5.4,26.4,47.4,20.7
Volusia County,Florida,NA,39614,492993,80,0,0,0,14.6,53.8,31.6
Brevard County,Florida,NA,43260,548884,79,0,0,0.2,26.5,48.8,24.4
Duval County,Florida,NA,68581,873037,79,0,1.2,-0.5,32.2,44,23.1
Hillsborough County,Florida,Tampa,98635,1267747,78,-0.4,0.2,6.3,31.3,56,6.7
Polk County,Iowa,Orlando/Tampa exurb,34029,445137,76,0,0,0.1,27.2,51.6,21.2
Adams County,Colorado,NA,34495,461499,75,0.6,0.8,5.9,25.4,46,21.2
Hudson County,New Jersey,NA,47693,654862,73,54.6,11.6,16.2,14,3.6,0
Maricopa County,Arizona,Phoenix,281288,3871293,73,0.1,1.9,4.8,33.7,41.1,18.5
Salt Lake County,Utah,NA,75322,1025872,73,0,3.2,13.5,50.9,21.2,11.1
King County,Washington,Seattle,143530,2002671,72,25,17.6,12.3,29.3,12.6,3.3
Clark County,Nevada,Las Vegas,137070,1971065,70,-0.1,5,8.5,40.5,30.5,15.6
Tarrant County,Texas,Fort Worth,132200,1875426,70,0,0.9,1.5,39.6,45.8,12.1
Harris County,Texas,Houston,288114,4245775,68,0.2,2.7,9.8,42.5,38.8,6.1
Hidalgo County,Texas,NA,48293,737878,65,0,0.1,1.1,32.7,59.1,7
Spokane County,Washington,NA,30115,476312,63,0,0,2.3,27,51.5,19.2
Multnomah County,Oregon,NA,46421,755652,61,13.5,25.2,21.2,34.2,6.1,-0.2
Knox County,Tennessee,NA,25715,434667,59,0.4,0,3.4,28.7,57.9,9.6
Johnson County,Kansas,NA,32723,560024,58,0,0,0,39.5,44.1,16.3
Douglas County,Nebraska,NA,29803,528532,56,0,1.1,7,36.4,43.9,11.5
Gwinnett County,Georgia,NA,47147,835699,56,0,0.1,-0.5,30.2,70.2,0
Suffolk County,Massachusetts,NA,40357,725974,56,53.5,21,7.8,16.3,1.3,0
Dallas County,Texas,Dallas,133955,2428457,55,1.9,12,11.6,37.7,28.7,8.1
El Paso County,Texas,NA,42993,783988,55,0,0.4,5.6,23.3,52.2,18.5
Hennepin County,Minnesota,NA,65573,1182421,55,8.8,9.5,7.2,41.3,25.5,7.7
Dakota County,Minnesota,NA,21385,405517,53,0,0,1.9,44.8,45.7,7.6
Franklin County,Ohio,NA,62993,1188770,53,0.8,2.8,8.2,44.8,40.2,3.2
Snohomish County,Washington,NA,38774,729590,53,0,2.2,6.9,46.7,32.6,11.7
Washington County,Oregon,NA,28288,531465,53,0.1,10.8,12.4,27.4,43.9,5.4
Seminole County,Florida,NA,21668,432135,50,0,0,0.2,45.1,48.1,6.5
Arapahoe County,Colorado,NA,29086,595524,49,0,2.7,17.6,28.2,34.1,17.5
Jefferson County,Colorado,NA,26098,540999,48,0,3.5,2.8,49.1,33.3,11.2
