County Name,State Name,City,Housing Units Built (2014-2024),Population (2014),"New Housing Built Per 1,000 Residents",,,
Williamson County,Texas,Austin suburb,113648,453629,251,,,
Collin County,Texas,Plano,142596,780275,183,,,
Montgomery County,Texas,Houston suburb,87289,487010,179,,,
Denton County,Texas,Dallas/Ft Worth suburb,122770,691152,178,,,
Travis County,Texas,Austin,158309,1076921,147,,,
Fort Bend County,Texas,Houston suburb,91570,630555,145,,,
Ada County,Idaho,Boise,54647,402871,136,,,
Lee County,Florida,Fort Myers,86805,644125,135,,,
Pasco County,Florida,Tampa suburb,62466,472745,132,,,
Polk County,Florida,Orlando/Tampa exurb,78661,609050,129,,,
Wake County,North Carolina,Raleigh,120952,942523,128,,,
Utah County,Utah,Provo,65984,522328,126,,,
Davidson County,Tennessee,Nashville,75456,641865,118,,,
Mecklenburg County,North Carolina,Charlotte,111848,962949,116,,,
District of Columbia,District of Columbia,"Washington, DC",70417,624786,113,,,
Greenville County,South Carolina,Greenville,50362,464185,108,,,
Denver County,Colorado,Denver,63223,635393,100,,,
Bexar County,Texas,San Antonio,168485,1767643,95,,,
Orange County,Florida,Orlando,106876,1178122,91,,,
Dane County,Wisconsin,Madison,43440,499058,87,,,
