"density_rank_20_start","total_HU_14to24","total_pop14","new_housing_per_res","avg_density14","STATE_NAME"
"1",41494,508523,82,13.6389433589687,"Texas"
"2",75740,644474,118,38.1885536687658,"Texas"
"3",151861,671939,226,73.4751132920591,"Texas"
"4",199282,854277,233,138.831091724515,"Texas"
"5",236043,902018,262,254.213375672681,"Texas"
"6",224264,989343,227,442.348043847449,"Texas"
"7",161887,1061377,153,724.237176461246,"Texas"
"8",205105,1257777,163,1065.05936859856,"Texas"
"9",180434,1185897,152,1485.96322178682,"Texas"
"10",131204,1372282,96,1931.81491212021,"Texas"
"11",103513,1324592,78,2398.80608531865,"Texas"
"12",101715,1595860,64,2896.61529338014,"Texas"
"13",79172,1690796,47,3435.67170828151,"Texas"
"14",73146,1916099,38,4076.81808331607,"Texas"
"15",66890,2062949,32,4794.48255452402,"Texas"
"16",54567,2041392,27,5717.00146286664,"Texas"
"17",42069,1965196,21,6952.04873445532,"Texas"
"18",25977,1164514,22,8968.4471050215,"Texas"
"19",18263,644098,28,13250.4714631378,"Texas"
"20",1420,202793,7,26867.5932078786,"Texas"
"1",3895,76245,51,14.4779786025869,"New York"
"2",12642,362623,35,40.4243738032213,"New York"
"3",17702,665219,27,75.6633985919405,"New York"
"4",20685,659360,31,139.332093626955,"New York"
"5",18052,541455,33,246.486980702829,"New York"
"6",19258,487878,39,442.89314569109,"New York"
"7",11103,415596,27,719.73099682186,"New York"
"8",16346,634295,26,1068.24328705248,"New York"
"9",12418,596409,21,1486.78976245842,"New York"
"10",11205,559247,20,1928.41437012546,"New York"
"11",12253,526038,23,2401.54515068247,"New York"
"12",5417,501903,11,2900.42973844042,"New York"
"13",6585,489996,13,3422.20265904804,"New York"
"14",8627,560033,15,4052.45466296444,"New York"
"15",13146,486237,27,4790.99344417974,"New York"
"16",4921,581714,8,5764.22551086087,"New York"
"17",6457,771694,8,7021.96214103352,"New York"
"18",7166,869127,8,9124.97541842968,"New York"
"19",36546,1434824,25,14601.0727834966,"New York"
