density_rank_20_start,Arizona,California,Georgia,New York,Texas,Washington
1,167,21,42,51,82,55
2,206,37,46,35,118,58
3,239,54,53,27,226,68
4,184,76,66,31,233,64
5,156,59,76,33,262,77
6,249,62,84,39,227,83
7,172,59,85,27,153,96
8,96,47,77,26,163,85
9,121,53,56,21,152,76
10,82,45,44,20,96,75
11,61,31,32,23,78,47
12,55,34,37,11,64,52
13,54,22,29,13,47,47
14,34,27,41,15,38,35
15,34,21,34,27,32,37
16,28,16,42,8,27,27
17,17,17,75,8,21,35
18,12,15,50,8,22,64
19,18,17,84,25,28,150
20,4,21,203,30,7,246
